,ID,Section,Gender,State,City,Age (years),Height,Highest_Qualification,Favourite_Subject,Favourite_Colour,Work_Experience,Work_Industry,Hobby,Info_regarding_gim,Workexperience,Top_3_Competitors,Top_3_converts,Experience_Category,Info_0,Info_1,Info_2,Info_3,Info_4,Social_media,Online_search,Advertisement,Coaching,Friends/Family
65,66,PGDM HCM,Man,Goa,Curchorem,24,165.0,Bachelor of pharmacy,Biology,Black,9.0,Pharma manufacturing,Watch web series,Friends/Family;Advertisement;,Placement,"IIM Jammu, IIM Bodh Gaya, TISS ",Welingkar,7-10 years,Friends/Family,Advertisement,,,,0,0,1,0,1
66,67,PGDM HCM,Woman,Chhattisgarh,"Baloda bazar, bhatapara",22,153.0,Under graduation,Biology,Red,0.0,,Dance,Online search;,Self-development,"IIM JAMMU, welinger, kj somaiya",,0 years,Online_search,,,,,0,1,0,0,0
67,68,PGDM HCM,Man,West Bengal,Bardhaman,24,169.0,B. Tech Biotechnology,Physics,Black,1.0,Pharmaceuticals,Singing,Friends/Family;Social media;Online search;,Successful,"IIM J, TISS, IIM Bodhgaya",,1-2 years,Friends/Family,Social media,Online_search,,,1,1,0,0,1
68,69,PGDM HCM,Woman,Goa,Vasco,22,159.0,Bsc Biochemistry,Mathematics,Black,0.0,,Reading,Friends/Family;,Change,"IIM Bodhgaya, TISS, IIM Kashmir ",,0 years,Friends/Family,,,,,0,0,0,0,1
69,70,PGDM HCM,Man,Karnataka,Bangalore,23,5.8,B.E,Mathematics,Black,0.0,,Traveling,Online search;,Gain good skills,"IIm bodhgaya, IIm jammu, Kj somaiya ","Kj somaiya, imi bhubaneswar, imt Hyderabad ",0 years,Online_search,,,,,0,1,0,0,0
70,71,PGDM HCM,Woman,Uttar Pradesh,Kanpur,21,156.0,Bachelors of design in fashion technology,Ux Ui,Blue,0.0,Fresher,Watering plants and feeding stray dogs,Online search;,Personal Development,"IIM Jammu, IIM Bodhgaya ",K J Somaiya,0 years,Online_search,,,,,0,1,0,0,0
71,72,PGDM HCM,Woman,Kamakshi Jangid,Jaipur,19,158.0,Graduation,Organizational behaviour,Red,0.0,,Walk in the nature,Online search;,Career growth,,Great lakes institute of management,0 years,Online_search,,,,,0,1,0,0,0
72,73,PGDM HCM,Man,Assam,Guwahati,24,174.0,B.pharma graduate,Maths,Beige,0.0,,Reading Novels and Mangas. Playing Badminton,Friends/Family;Social media;,Growth,"IIM Jammu, IIM Bodhgaya, IRMA","Fore, IMT G, IMT Nagpur. ",0 years,Friends/Family,Social media,,,,1,0,0,0,1
73,74,PGDM HCM,Woman,Maharashtra,Amravati,26,158.0,Doctor of Pharmacy,History,Green,0.0,,Reading,Online search;,Job,"IIM Jammu, IIM Bodhgaya, Wellinger","PGDM-TAPMI, PGDM-GLIM",0 years,Online_search,,,,,0,1,0,0,0
74,75,PGDM HCM,Woman,Madhya Pradesh,Bhopal,26,161.0,M.Sc. biochemistry,"Biochemistry, biostatistics ",Black,2.0,"Research, writing",Dancing,Online search;,Transition,"IIM Jammu, IIM Bodhgaya, K J Somaiya","Welingkar, SICSR, NMIMS",1-2 years,Online_search,,,,,0,1,0,0,0
75,76,PGDM HCM,Woman,Maharashtra,Dombivli,22,153.0,Under Graduation in BSc Biotechnology,History,Cyan,0.0,,Listening to music,Entrance exam coach;,Career,"IIM Jammu, TISS, Welingkar",,0 years,Coaching,,,,,0,0,0,1,0
76,77,PGDM HCM,Woman,Maharashtra,Kalyan,25,160.0,Masters of science,Biology,Black,2.0,Healthcare,Playing badminton,Online search;,Skills development,"IIM(jammu),IIM (bodhgaya), somaiya (healthcare)",Somaiya(core),1-2 years,Online_search,,,,,0,1,0,0,0
77,78,PGDM HCM,Man,Delhi,Delhi,24,5.6,Graduation,Biology,Black,1.0833333333333333,Pharmaceutical,Singing,Social media;,Experience,"Iihmr, iim bodhgya, iim jammu",,1-2 years,Social media,,,,,1,0,0,0,0
78,79,PGDM HCM,Woman,Haryana,Yamuna Nagar,24,172.0,B.Pharm,Biology,Black,0.0,,Reading,Friends/Family;,Growth,"IIM J, TISS Mumbai, IIM Bodhgaya",,0 years,Friends/Family,,,,,0,0,0,0,1
79,80,PGDM FT Section D,Woman,Kerala,Thiruvananthapuram,25,158.0,BBA LLB Degree,Constitutional Law,Red,1.0,Legal firm,Watching anime and reading,Friends/Family;Social media;Online search;,Amazing,"Great Lakes, Imt, Xim B","Fore, K J somaiyaa, Great lakes",1-2 years,Friends/Family,Social media,Online_search,,,1,1,0,0,1
80,81,PGDM HCM,Man,Odisha,Bhubaneswar,26,173.7,BDS,Prosthodontics,White,2.0,Hospital,Writing,Online search;,Growth,"Sneha,ayeeshee,Durgesh","XIMB,KLRI,SIBM",1-2 years,Online_search,,,,,0,1,0,0,0
81,82,PGDM FT Section A,Man,Karnataka,Bengaluru,25,176.0,Bachelors of Engineering,Mathematics,Blue,2.5833333333333335,Technology,Swimming,Online search;,Growth,"TAPMI, XIMB, IMI",TAPMI,2-5 years,Online_search,,,,,0,1,0,0,0
82,83,PGDM FT Section A,Woman,Karnataka,Bangalore,22,164.0,BE,Immunology,Wine red,0.0,,Badminton,Online search;,Impactful,IMI TAPMI IMT GLIM,FORE GLIM,0 years,Online_search,,,,,0,1,0,0,0
83,84,PGDM FT Section A,Man,Maharashtra,Mumbai,22,174.0,Bcom,Economics,Black,1.0,Insurance,Chess,Friends/Family;,Growth,"TAPMI, IMI DELHI, IMT GHAZIABAD",,1-2 years,Friends/Family,,,,,0,0,0,0,1
84,85,PGDM FT Section A,Man,Goa,Panaji,24,179.0,Under graduate,Maths,Blue,2.75,E commerce,Sports,Friends/Family;,Maturity,"Sp jain, tapmi, glim pgpm","GLIM, SDA",2-5 years,Friends/Family,,,,,0,0,0,0,1
85,86,PGDM FT Section A,Woman,Rajasthan,Jaipur,24,156.0,"BA Triple Major (Political Science, Economics, Sociology)",Economics,Black,3.0,Financial Services,Dance,Online search;,Placement,"IIMs, IMT, SP Jain","IIM Kashipur, IMT",2-5 years,Online_search,,,,,0,1,0,0,0
86,87,PGDM FT Section A,Man,West Bengal,Kolkata,22,169.0,B.com (H),Economics,Black,1.75,"FMCG, Retail & Fashion","Mimicry, Sports, Dance, Singing",Friends/Family;Social media;Advertisement;,GIM helps me develop a better version of myself. Someone who is confident in things that he takes up.,"IMT Ghaziabad, Tapmi, Mdi Gurgaon","IMT Ghaziabad, Imi Delhi",1-2 years,Friends/Family,Social media,Advertisement,,,1,0,1,0,1
87,88,PGDM FT Section A,Woman,Madhya pradesh,Datia,23,5.4,Btech,Maths,White,1.1,Govind agritech pvt. Ltd,Swimming,Online search;,Placement,"Sibm, tapmi, glim",,1-2 years,Online_search,,,,,0,1,0,0,0
88,89,PGDM FT Section A,Woman,Uttar Pradesh,Noida,23,173.0,Bachelor's Degree,Marketing,Black,1.0,B2B Marketing consultancy,Exploring new places,Online search;,Package,IIM ABC,Ximb Nmims B Tapmi,1-2 years,Online_search,,,,,0,1,0,0,0
89,90,PGDM FT Section A,Woman,Karnataka,Bengaluru,21,170.0,Bcom,Accounts,Black,0.0,,Listening to music,Online search;,Transforming,"IIM V, GLIM CHENNAI, SPJAIN","IMT ghaziabad, nmims, iim sirmaur",0 years,Online_search,,,,,0,1,0,0,0
90,91,PGDM FT Section A,Woman,Tamil Nadu,Erode,22,5.3,B.com,Accountancy,Pink,0.9166666666666666,Banking,Traveling,Social media;Online search;,Development,IMI Delhi TAPMI GLIM,BABY IIMS,1-2 years,Social media,Online_search,,,,1,1,0,0,0
