,ID,Section,Gender,State,City,Age (years),Height,Highest_Qualification,Favourite_Subject,Favourite_Colour,Work_Experience,Work_Industry,Hobby,Info_regarding_gim,Workexperience,Top_3_Competitors,Top_3_converts,Experience_Category,Info_0,Info_1,Info_2,Info_3,Info_4,Social_media,Online_search,Advertisement,Coaching,Friends/Family
138,139,PGDM FT Section A,Woman,West Bengal,Kolkata,23,150.0,Btech,Project Management,Pink,0.0,Few months training in cognizant,Dancing,Advertisement;,To get placement in one of the top management consulting companies,Imt ghaziabad Ximb Tapmi Glim chennai imi delhi,Imt ghaziabad dcp glim pgdm,0 years,Advertisement,,,,,0,0,1,0,0
139,140,PGDM BDA Section A,Woman,Madhya Pradesh,Indore,24,156.0,B. E.,Programming,White,0.9166666666666666,Consulting,Singing,Friends/Family;,Learning,"IIM, SP JAIN, NMIMS",,1-2 years,Friends/Family,,,,,0,0,0,0,1
140,141,PGDM BDA Section A,Man,Tamilnadu,Chennai,22,175.0,B.E,Python,Red,0.0,,Watching books,Social media;Advertisement;,OPPORTUNITIES AND PLACEMENTS,"GLIM,IMI,FORE","NMIMS Bangalore,WELINGKAR Mumbai",0 years,Social media,Advertisement,,,,1,0,1,0,0
141,142,PGDM BDA Section A,Man,Goa,Margao,21,175.0,Bachelor's in Computer Application,Cs,Green,0.0,,Gym,Friends/Family;,Grow,"IIM Kanhipur, Great Lakes, TAPMI",,0 years,Friends/Family,,,,,0,0,0,0,1
142,143,PGDM FT Section B,Man,Uttar Pradesh,Saharanpur,22,176.0,Graduation,Accountancy,White,1.0,Consulting,Graphic Designing,Social media;,Placement,"IMT, IMI, Great Lakes",,1-2 years,Social media,,,,,1,0,0,0,0
143,144,PGDM FT Section B,Woman,Gujarat,Ahmedabad,31,5.5,PGDM,History,Black,7.0,Education industry,Movie,Advertisement;,Learning,"IIMA, IIMB, IIMC ",Nicmar,5-7 years,Advertisement,,,,,0,0,1,0,0
144,145,PGDM FT Section B,Man,Gujarat,Surat,24,176.0,B.Tech,Mathematics,Orange,1.0,IT,Playing Cricket,Social media;,Placement,"GLIM, IMI and FORE","GLIM, TAPMI, SOIL and IMI",1-2 years,Social media,,,,,1,0,0,0,0
145,146,PGDM FT Section B,Man,Punjab,Ludhiana,21,6.0,Undergraduate,Personal Finance,Blue,0.0,,Cricket,Social media;Advertisement;,Improved,"IMI Delhi, Tapmi, Great lakes Chennai ","Kj somaiya, Ubs Chandigarh",0 years,Social media,Advertisement,,,,1,0,1,0,0
146,147,PGDM FT Section B,Man,Jharkhand,Jamshedpur,24,180.0,B.Tech,Maths,Green,2.0,IT Consulting,Watching and Analysing Movies & TV Shows,Friends/Family;Advertisement;,Development,"IMT Ghaziabad, IIM Sirmaur, GLIM Chennai",,1-2 years,Friends/Family,Advertisement,,,,0,0,1,0,1
147,148,PGDM FT Section B,Man,Rajasthan,Udaipur,22,178.0,Undergraduate,Investment Analysis,Black,0.0,,Snooker,Friends/Family;,Placement,"Great Lakes, TAPMI, IMT",,0 years,Friends/Family,,,,,0,0,0,0,1
148,149,PGDM FT Section B,Man,Kerala,Cochin,26,175.0,Btech,IC engines,Blue,3.0833333333333335,IT,Watching Formula 1,Online search;,Career,"Tapmi, GLIM, IMT","GLIM, IMI, KJ Somaiya",2-5 years,Online_search,,,,,0,1,0,0,0
149,150,PGDM FT Section B,Man,Punjab,Zirakpur,22,173.0,Graduation (BBA),Marketing,Green,0.0,,Playing instruments,Friends/Family;,Kindness,"XIMB, TAPMI, IMT",XIMB,0 years,Friends/Family,,,,,0,0,0,0,1
150,151,PGDM FT Section B,Woman,Karnataka,Bengaluru,22,172.0,Graduation,Maths,Purple,0.0,,Singing,Advertisement;Online search;,Holistic development,"IMT Ghaziabad, TAPMI, SIBM",Not available,0 years,Advertisement,Online_search,,,,0,1,1,0,0
151,152,PGDM FT Section B,Man,Chhattisgarh,Raipur,24,170.0,BCA,Communications,White,0.0,,Guitar,Social media;,Growth,"TAPMI, BABY IIMS,FORE",,0 years,Social media,,,,,1,0,0,0,0
152,153,PGDM FT Section B,Woman,Maharashtra,Mumbai,22,163.0,BachelorÕs in Mass Media and Communication,Marketing,Yellow,0.0,,Tennis,Friends/Family;Advertisement;,Growth,"IMT, XIMB, IIMs",KJ,0 years,Friends/Family,Advertisement,,,,0,0,1,0,1
153,154,PGDM FT Section B,Woman,Odisha,Sambalpur,21,160.0,BBM,Marketing,Blue,0.0,,Sketching,Online search;,Transformation,"Tapmi, Glim, XIMB",,0 years,Online_search,,,,,0,1,0,0,0
154,155,PGDM FT Section B,Woman,Kerala,Kottayam,24,162.0,Graduate,Physics,Green,2.0,Ecommerce,Cooking,Online search;,Growth,"Great Lakes, TAPMI, NMIMS","SIIB,SIBM Banglore",1-2 years,Online_search,,,,,0,1,0,0,0
155,156,PGDM FT Section B,Man,West Bengal,Kolkata,22,174.0,B.Sc. (H),Economics,Black,0.0,,Music,Advertisement;Social media;,Get high grades and a good placement,"IMT, TAPMI, Great Lakes",,0 years,Advertisement,Social media,,,,1,0,1,0,0
156,157,PGDM FT Section B,Man,Goa,Panaji,22,163.0,B.Tech,Maths,Black,0.0,,Football,Advertisement;,Placement,"IMT, TAPMI, IMI",,0 years,Advertisement,,,,,0,0,1,0,0
157,158,PGDM BDA Section B,Woman,Madhya Pradesh,Umaria,21,5.3,Under graduation,Marketing,Blue,0.0,,Badminton,Online search;,Growth,GLIM chennai,"IMI delhi, IMT nagpur, GLIM chennai",0 years,Online_search,,,,,0,1,0,0,0
158,159,PGDM FT Section B,Man,Tamil Nadu,Namakkal,23,180.0,Graduate,Finance,Black,3.0,Marketing,Photography,Advertisement;,Growth,"Tapmi, great lakes, nmims",Nil,2-5 years,Advertisement,,,,,0,0,1,0,0
159,160,PGDM FT Section B,Man,Maharashtra,Navi Mumbai,21,180.0,Under Graduate,Economics,Green,0.0,Fresher,Working out,Friends/Family;,Looking forward to an enriching two years with peers and faculty.,"Tapmi, IMI Delhi , IMT Ghaziabad ","Tapmi , Imt Ghaziabad , fore Delhi ",0 years,Friends/Family,,,,,0,0,0,0,1
160,161,PGDM FT Section B,Man,New Delhi,Delhi,23,184.0,BBA,Mathematics,White,1.5833333333333333,Consulting,"Art, football ",Friends/Family;,Personal growth,TAPMI,MDI Murshidabad,1-2 years,Friends/Family,,,,,0,0,0,0,1
161,162,PGDM FT Section B,Man,Uttrakhand,Almora,22,183.0,Under Graduation,Marketing,Red,5.0,Retail,Basketball,Social media;Advertisement;Online search;Friends/Family;,To learn about various domains in the best of my ability,"Imt Ghaziabad, great lakes Chennai, baby iims","Great lakes, iim Bodhgaya",2-5 years,Social media,Advertisement,Online_search,Friends/Family,,1,1,1,0,1
162,163,PGDM FT Section B,Woman,Delhi,Delhi,20,66.0,Graduation,Economics and Marketing,Pink,0.0,,Reading,Friends/Family;Online search;Advertisement;IMS;,Placement,"GLIM chennai, IMI, Tapmi","IMT, NMIMS (other campuses) ",0 years,Friends/Family,Online_search,Advertisement,Coaching,,0,1,1,1,1
163,164,PGDM FT Section B,Man,Uttar Pradesh,Prayagraj,26,179.0,BTech in Electrical Engineering,Mathematics,Black,2.6666666666666665,32,Playing chess,Friends/Family;,Knowledge,"IMI Delhi, IMT Ghaziabad, MDI Gurgaon","GLIM Chennai, TAPMI, KJSOM",2-5 years,Friends/Family,,,,,0,0,0,0,1
164,165,PGDM FT Section B,Man,Delhi,Delhi,24,162.0,Graduate,Economics,White,2.0,,Bingewatch,,Growth,"Glim, Tapmi, IMI","WELLINGKER, LBSIM, SIBM, NOIDA",1-2 years,,,,,,0,0,0,0,0
165,166,PGDM FT Section B,Man,Maharashtra,Sawantwadi,23,184.0,Btech,Thermodynamics,Black,0.0,,Reading,Social media;,Placement,"TAPMI ,FORE, KJ SOMAIYA ","SCMHRD, IMT Ghaziabad ,IMI DELHI",0 years,Social media,,,,,1,0,0,0,0
166,167,PGDM BDA Section B,Man,Kerala,Thrissur,24,175.0,B.Tech,Logics and Computer Algorithms,Red,2.5,Software and IT,Long Bike Rides,Online search;,Evolution,"TAPMI, IMI, IMT","BIMTECH, IMI, GLIM",2-5 years,Online_search,,,,,0,1,0,0,0
167,168,PGDM FT Section B,Woman,West Bengal,Kolkata,24,152.4,Undergraduation,Accounts,Baby Pink,3.0,Audit,Baking,Friends/Family;,Exposure,"IMI DELHI, IMT GHAZIABAD, IIM NAGPUR",IMI Delhi,2-5 years,Friends/Family,,,,,0,0,0,0,1
168,169,PGDM FT Section B,Man,West  Bengal,Kolkata,24,510.0,Btech,Branding,Black,1.0,IT,Quizzing,Friends/Family;,Placement,"IMT ghaziabad, Imi delhi, IIM Nagpur.","Imi delhi core, imt ghaziabad, glim chennai.",1-2 years,Friends/Family,,,,,0,0,0,0,1
169,170,PGDM FT Section B,Woman,Madhya pradesh,Guna,23,160.0,Bachelor of commerce,Accounts,Black,1.5,Insurance,Watching movies,Friends/Family;,Communication,"Great lakes,chennai","IMT GAZIABAD, IMI DELHI",1-2 years,Friends/Family,,,,,0,0,0,0,1
170,171,PGDM FT Section B,Man,Maharashtra,Mumbai,25,177.0,L.L.B,Marketing,Sky blue,3.0,Real Estate,Cricket and Gym,Advertisement;Friends/Family;,Success,"TAPMI, Great Lakes, Welingkars","TAPMI, Welingkars, KJ Somaiya, Fore school of management",2-5 years,Advertisement,Friends/Family,,,,0,0,1,0,1
171,172,PGDM FT Section B,Man,West bengal,Kolkata,24,176.0,Under graduation,Maths,Ted,2.0,Consulting,Traveling,Friends/Family;,Growth,"IMT G, XIMB, great lakes",,1-2 years,Friends/Family,,,,,0,0,0,0,1
172,173,PGDM FT Section C,Man,Maharashtra,Thane,21,167.0,Graduation,Accounting,Blue,0.0,,Football,Social media;Online search;Advertisement;,Successful,"IMI,IMT,IIM BODHGAYA","Fore,Tapmi",0 years,Social media,Online_search,Advertisement,,,1,1,1,0,0
173,174,PGDM FT Section C,Man,Karnataka,Bengaluru,21,164.0,BBA,Accounting,Black,0.0,,Playing sports,Friends/Family;Social media;,Growth,"IIM(s), Tapmi,IMI","Tapmi, Great Lakes, BIM",0 years,Friends/Family,Social media,,,,1,0,0,0,1
174,175,PGDM BDA Section C,Woman,Kerala,Thrissur,24,158.0,BA,English,Black,1.75,Education,Watching movies,Online search;,Efficient,"Great lakes, Tapmi, Welingkar ",,1-2 years,Online_search,,,,,0,1,0,0,0
175,176,PGDM FT Section C,Woman,Madhya Pradesh,Bhopal,26,164.0,Graduate,English,Black,4.0,IT,Listening to music,Friends/Family;Online search;,Learning,"Great lakes, cap IIM",Great lakes,2-5 years,Friends/Family,Online_search,,,,0,1,0,0,1
176,177,PGDM FT Section C,Woman,Madhya Pradesh,Ujjain,23,172.72,Graduation,Maths,Bottle green,1.5,FMCG,Singing,Social media;,Placement,"Tapmi, NMIMS, XIM",,1-2 years,Social media,,,,,1,0,0,0,0
177,178,PGDM FT Section C,Man,Andhra Pradesh,Marteru,21,180.0,Undergraduation(BTECH),Maths,Red,0.0,,Listening songs,Friends/Family;,Good placement,"IMT,IMI,IIM BODHGAYA ","Imi,imt",0 years,Friends/Family,,,,,0,0,0,0,1
178,179,PGDM FT Section C,Woman,Haryana,Gurgaon,24,162.0,Masters in commerce,Accountancy,Pink,1.0,Banking,Dancing,Friends/Family;,Growth,"IMT, IMI,TAPMI","IMT, TAPMI, IMI",1-2 years,Friends/Family,,,,,0,0,0,0,1
179,180,PGDM FT Section C,Man,Goa,Margao,23,188.0,Bachelors,Product management,Black,1.5,"Technology,Travel ",Playing sports,Friends/Family;,Growth,"IMT , great lakes , Kj somiya ",,1-2 years,Friends/Family,,,,,0,0,0,0,1
180,181,PGDM FT Section C,Woman,Kerala,Trivandrum,25,164.0,BA.LL.B,Social studies,Purple,1.0,Corporate,Reading,Friends/Family;,Placement,"Great lakes chennai, IMT ghaziabad, TAPMI",Great lakes chennai,1-2 years,Friends/Family,,,,,0,0,0,0,1
181,182,PGDM FT Section C,Man,Kerala,Trivandrum,23,180.0,BA Economics,Economics,Black,1.0,Retail Pharmacy,Playing Guitar,Friends/Family;,Growth,"TAPMI, GLIM, FORE",IMT,1-2 years,Friends/Family,,,,,0,0,0,0,1
182,183,PGDM FT Section C,Woman,Goa,Panaji,23,161.0,Bcom,Finance,Pink,1.5,Finance,Music,Friends/Family;,Productivity,"IIM, XLRI, SIBM","GLIM, SIIB",1-2 years,Friends/Family,,,,,0,0,0,0,1
183,184,PGDM FT Section C,Woman,Madhya Pradesh,Bhopal,21,152.0,Graduate,Accountancy,Black,0.0,,Watching cricket,Friends/Family;Social media;,Placement,"IMT Ghaziabad, XIMB, TAPMI","IIM Sambalpur, IIM sirmaur, IMI Delhi",0 years,Friends/Family,Social media,,,,1,0,0,0,1
184,185,PGDM FT Section C,Man,Goa,Mapusa,24,168.0,Bachelors,Logics and numerics,Blue,0.0,,Play sports,Friends/Family;,"Personal growth, networking,upskilling","Great lakes chennai , IMT Gazhiabad , IMI Delhi",IMI Delhi,0 years,Friends/Family,,,,,0,0,0,0,1
185,186,PGDM BDA Section C,Man,Uttar Pradesh,Lucknow,23,5.5,B.com,Economics,Blue,1.5,Content Editing,Batminton and Journaling,Social media;Friends/Family;,Upskilling,"TAPMI, MDI, IMI",NIBM,1-2 years,Social media,Friends/Family,,,,1,0,0,0,1
186,187,PGDM FT Section C,Woman,Gujarat,Surat,22,163.0,Bachelors,Marketing,Black,0.0,,Reading books,Friends/Family;,Memorable,1. IIM Udaipur 2. XIMB 3. NMIMS Mumbai,,0 years,Friends/Family,,,,,0,0,0,0,1
187,188,PGDM FT Section C,Man,West Bengal,Siliguri,25,5.11,B pharm Graduate,Marketing,White,0.0,,Writing,Social media;,Learing,"XIMB, SCMHRD, IMI",,0 years,Social media,,,,,1,0,0,0,0
188,189,PGDM FT Section C,Man,Uttar Pradesh,Kanpur,22,180.0,Graduation,Accounts,Blue,0.0,,Watching Football,Social media;,Upskilling,"IIM Jammu, TAPMI, IMI","Great Lakes, IIM Bodhgaya, TAPMI",0 years,Social media,,,,,1,0,0,0,0
189,190,PGDM FT Section C,Man,Karnataka,Hubli,26,173.0,B.E,Math,Black,1.9,IT,Sports,Friends/Family;,Growth,"Great Lakes, IMT, TAPMI","Great Lakes, IMT",1-2 years,Friends/Family,,,,,0,0,0,0,1
190,191,PGDM FT Section C,Man,Uttar Pradesh,Ghaziabad,24,178.0,BBA (G),Organisational Behaviour,Black,3.9166666666666665,Tax Solutions,Meditation,Advertisement;,Rigorous,"IMT, IMI D, Tampi ",IMI D,2-5 years,Advertisement,,,,,0,0,1,0,0
191,192,PGDM FT Section C,Man,Uttar Pardesh,Ghaziabad,23,180.0,B.com,Marketing,Red,1.0,Edtech,Watching football,Social media;Advertisement;,Learning,"IMI, IMT, Baby IIMs",,1-2 years,Social media,Advertisement,,,,1,0,1,0,0
192,193,PGDM FT Section C,Man,Jharkhand,Jamshedpur,23,175.0,B.com Honours,Economics,Black,1.6666666666666667,Textile Industry,Basketball,Online search;,Growth,"IMT Ghaziabad, IMI Delhi, GLIM Chennai","FORE Delhi, KJ Som, Tapmi",1-2 years,Online_search,,,,,0,1,0,0,0
193,194,PGDM FT Section C,Woman,Madhya Pradesh,Indore,20,158.0,BBA (MS),Accountancy,White,0.0,,Watching movies,,Networking,Tapmi IMT IMI,,0 years,,,,,,0,0,0,0,0
194,195,PGDM FT Section C,Man,Maharashtra,Mumbai,22,178.0,BE,Supply chain management,Blue,0.0,,Playing chess,Social media;,High,"IIMA, IIMB, IIMC",Sibm banglore,0 years,Social media,,,,,1,0,0,0,0
195,196,PGDM FT Section C,Man,Jharkhand,Jamshedpur,26,178.0,Btech in IT,Neuro marketing,Violet,3.4166666666666665,IT industry,Boxing,Friends/Family;Social media;,Placement,"IMT Ghaziabad, IIM Amritsar, Great lakes","IMI new delhi, IIM kashipur, IMT Ghaziabad ",2-5 years,Friends/Family,Social media,,,,1,0,0,0,1
196,197,PGDM FT Section C,Woman,Maharashtra,Mumbai,23,162.0,B.com,Accounts,Pink,2.0,Paint,Singing,Friends/Family;,Placement,"Great lakes, Tapmi",Great lakes,1-2 years,Friends/Family,,,,,0,0,0,0,1
197,198,PGDM FT Section C,Woman,Karnataka,Dharwad,24,157.0,BBA LLB,Law,Yellow,0.0,,Reading,Online search;Advertisement;,Knowledge and skills,"TAPMI, GLIM","TAPMI, GLIM",0 years,Online_search,Advertisement,,,,0,1,1,0,0
198,199,PGDM FT Section C,Woman,Gujarat,Vapi,21,167.0,B. Com,Finance,Green,0.0,,Playing Basketball,Friends/Family;,Self Improvement,SPJIMR IMT GLIM,,0 years,Friends/Family,,,,,0,0,0,0,1
199,200,PGDM FT Section C,Man,Mharashtra,Mumbai,21,190.5,B.E.,Mathematics,Green,0.0,,Swimming,Friends/Family;,to Learn,TAPMI IMTG IMI,IMI TAPMI,0 years,Friends/Family,,,,,0,0,0,0,1
200,201,PGDM FT Section C,Woman,Bihar,Patna,23,160.0,BBA,HRM,Black and White,0.0,,Meditation,Advertisement;,Learning,"TAPMI, Great Lakes, IMI Delhi",,0 years,Advertisement,,,,,0,0,1,0,0
201,202,PGDM BDA Section C,Man,Madhya Pradesh,Khachrod,23,172.0,Bachelor's,Accounting,Lavender,2.4166666666666665,Media and Entertainment,Music,Social media;Friends/Family;Online search;,Growth,"IMI D, GLIM C, MDI G","SCMHRD BA, NIRMA, SIBM Bangalore",2-5 years,Social media,Friends/Family,Online_search,,,1,1,0,0,1
202,203,PGDM FT Section C,Woman,Maharashtra,Karad,22,168.0,B. Pharm.,Mathematics,Black,0.0,,Reading,Online search;,Placement,"GLIM , IMT , IMI",,0 years,Online_search,,,,,0,1,0,0,0
203,204,PGDM FT Section C,Woman,Rajasthan,Udaipur,22,170.0,Bachelors of design,Science,Black,0.0,Fresher,Painting,Friends/Family;,Placement,"IMT, NMIMS, IMI",NMIMS,0 years,Friends/Family,,,,,0,0,0,0,1
204,205,PGDM FT Section C,Man,Rajasthan,Hanumangarh,21,177.8,Bba,Marketing,White,1.0,Education,Editing,Friends/Family;Social media;,Excel,Imt imi schmrd,Imi imt glim,1-2 years,Friends/Family,Social media,,,,1,0,0,0,1
205,206,PGDM FT Section C,Man,Delhi,New Delhi,22,172.0,Graduate,Mathematics,Green,0.0,,Watching films,Online search;,Placement,"IMT Ghaziabad, MDI Gurgaon, IMI Delhi","XIMB, IMI Delhi, SIBM Bangalore",0 years,Online_search,,,,,0,1,0,0,0
206,207,PGDM FT Section C,Woman,Gujarat,Unjha,23,165.0,BBA (Hons.),Marketing,Black,0.0,,Documentary watching,Online search;,Development of professional and interpersonal skills,"IMI (New Delhi), IIM Bodhgaya","IMT nagpur, IMT Hyderabad, SIBM nagpur,",0 years,Online_search,,,,,0,1,0,0,0
207,208,PGDM FT Section C,Woman,Delhi,Delhi,26,176.0,M.Tech,Food Tech,Blue,2.0,Food Industry,Road trips,Friends/Family;,Grooming,"Fore, imi, lbsim","Fore, lbsim",1-2 years,Friends/Family,,,,,0,0,0,0,1
208,209,PGDM FT Section A,Man,Karnataka,Bangalore,23,175.0,BE Mechanical Engineering,Maths,Red,1.5,Aerospace,Photo,Friends/Family;,Growth,"IMT Ghaziabad, TAPMI, MDI Gurgaon ","IMT Ghaziabad, TAPMI, KJ Somaiya",1-2 years,Friends/Family,,,,,0,0,0,0,1
209,210,PGDM FT Section C,Woman,Haryana,Faridabad,25,153.0,Msc,Accountancy,Blue,0.0,,Singing,Friends/Family;Online search;,Getting commercial skills,IMT GREAT LAKES and TAPMI,"IMT DCP, GREAT LAKES, TAPMI",0 years,Friends/Family,Online_search,,,,0,1,0,0,1
210,211,PGDM FT Section C,Man,Haryana,Naraingarh,21,176.0,B.Com,Economics,Green,0.0,,Watching cricket,Social media;,Personal development,"Imi delhi, Tapmi, Imt ghaziabad",Kj somaiya,0 years,Social media,,,,,1,0,0,0,0
211,212,PGDM FT Section E,Man,Maharashtra,Pune,23,177.0,Under Graduation,Cloud computing,Black,0.0,,Cricket,Friends/Family;Social media;,Leadership skills,"IMI delhi, IMT Ghaziabad, baby iims",,0 years,Friends/Family,Social media,,,,1,0,0,0,1
212,213,PGDM BIFS,Woman,Kerala,Ernakulam,22,164.59,B.Com (Hons.) in International Accounting and Finance,Corporate Finance,Black,0.0,,Reading Books,Online search;Social media;,Placement,"Great Lakes, IMI Delhi, TAPMI",,0 years,Online_search,Social media,,,,1,1,0,0,0
213,214,PGDM BIFS,Man,Maharashtra,Chhatrapati Sambhaji Nagar (Aurangabad),25,178.0,Bachelors,Applied thermo,Black,2.0,,Badminton,Social media;,Growth,Tapmi kj iim trichy,,1-2 years,Social media,,,,,1,0,0,0,0
214,215,PGDM BIFS,Man,Maharashtra,Pune,21,176.0,BCom graduation,Accounts,Blur,0.0,,Watching movies,Online search;Friends/Family;,Placemeny,"NIBM, IIM, Symbiosis",,0 years,Online_search,Friends/Family,,,,0,1,0,0,1
215,216,PGDM BIFS,Woman,Telangana,Hyderabad,22,5.6,Bachelor of Engineering,Maths,Purple,0.8333333333333334,IT,Dance,Online search;Social media;,learning,"IMI Delhi, IMT Ghaziabad, Great Lakes Chennai","Tapmi, Great Lakes, IMT Hyderabad",1-2 years,Online_search,Social media,,,,1,1,0,0,0
216,217,PGDM BIFS,Woman,Maharashtra,Mumbai,22,159.0,Graduation,"Mathematics, Hindi",No color specific as such,2.0,DSP Asset Managers - Finance Industry,"Handwriting Analysis, Tarot Reading",Online search;,Learning,"Jbims, FMS, IIM Ahmedabad",,1-2 years,Online_search,,,,,0,1,0,0,0
217,218,PGDM BIFS,Man,Maharashtra,Mumbai,24,170.0,M.com,Business Management,Black,3.0,"Finance, Real Estate",Photography,Online search;,Learn,"IIM Udaipur, TAPMI, NIBM","IIM Ranchi, IIM Sambalpur",2-5 years,Online_search,,,,,0,1,0,0,0
218,219,PGDM BIFS,Man,Delhi,New Delhi,23,159.0,Undergraduate,Corporate Finance,Light Blue,0.0,,Football,Friends/Family;Advertisement;,Growth,"IMTG, GLIMC, IMI Delhi",TAPMI,0 years,Friends/Family,Advertisement,,,,0,0,1,0,1
219,220,PGDM BIFS,Woman,Madhya Pradesh,Indore,22,5.5,B.Tech,Total quality Management,Yellow,0.0,,"Making illustrations, Graphic designing",Friends/Family;,Self development,"IMI delhi, Ghaziabaad, Baby IIM","SIDTM, IMT,  IIM BODHGAYA",0 years,Friends/Family,,,,,0,0,0,0,1
220,221,PGDM BDA Section C,Man,UP,Mathura,23,180.0,Btech,Maths,Green,0.0,,Gym,Online search;,Confidence,IMT IMI TAPMI,,0 years,Online_search,,,,,0,1,0,0,0
221,222,PGDM BIFS,Man,Telangana,Hyderabad,25,5.9,Bachelor in technology,Geopolitics,Safron,3.0,Production,Gym,Advertisement;Social media;Online search;,Excellence,"IMT GAZIABAD ,TAPMI , IIM JAMMU",,2-5 years,Advertisement,Social media,Online_search,,,1,1,1,0,0
222,223,PGDM BDA Section B,Woman,Maharashtra,Thane,23,5.0,B.Tech,Python,Blue,1.0,FinTech,Dance,Friends/Family;Online search;Social media;,Placement,"TAPMI, GLIM, IMI","KJSIM, FORE",1-2 years,Friends/Family,Online_search,Social media,,,1,1,0,0,1
223,224,PGDM BDA Section B,Woman,West Bengal,Durgapur,21,5.0,B.Tech,Python,Blue,0.0,,Dancing,Social media;Friends/Family;,Placement,"GLIM, TAPMI, IMI",GLIM,0 years,Social media,Friends/Family,,,,1,0,0,0,1
224,225,PGDM BDA Section B,Woman,Rajasthan,Jaipur,22,161.0,GRADUATE,Statistics,Black,0.0,,"Guitar,art",Social media;,To get a good placement and grow in my career,"IMI delhi, GLIM-C, IIM Kashipur"," Fore delhi, glim-c, IMT nagpur, gim goa",0 years,Social media,,,,,1,0,0,0,0
225,226,PGDM BDA Section B,Woman,west bengal,kolkata,21,170.0,graduation,maths,red,0.0,,dancing,Friends/Family;,Growth,"IIMB, IIFT, MDI",,0 years,Friends/Family,,,,,0,0,0,0,1
226,227,PGDM BDA Section C,Man,Tamil Nadu,Tirunelveli,25,160.0,B.E.,SQL,Green,3.5,IT,Bike Ridding,Online search;,Self development,TAPMI,GIM,2-5 years,Online_search,,,,,0,1,0,0,0
227,228,PGDM BDA Section B,Man,Uttar Pradesh,Kanpur,22,181.0,B.sc.,Geography,Maroon,0.0,Fresher,Calisthenics,Online search;,Placement,IIMs,IIM BG IIM jammu tapmi IMT(IDB),0 years,Online_search,,,,,0,1,0,0,0
228,229,PGDM BIFS,Man,Gujarat,Vadodara,23,165.0,Bachelors,Financial Management,White,1.0,Financial services,Reading biography,Social media;,"Learning new things, getting knowledge, having new experience and able to transform myself into the best version in terms of ","Great Lakes, Tapmi, baby IIM",,1-2 years,Social media,,,,,1,0,0,0,0
229,230,PGDM BIFS,Man,Rajasthan,Udaipur,24,170.0,B.Tech - Mechanical,Maths,Black,1.0,Adani Power,"Basketball , Gigs and Travelling",Friends/Family;,Hardworking,"IMI New Delhi , Great Lakes Chennai and Baby IIM",IMI New Delhi,1-2 years,Friends/Family,,,,,0,0,0,0,1
230,231,PGDM BDA Section C,Man,Maharashtra,nashik,29,6.0,BE,Maths,green,6.0,banking,playing cricket,Social media;,placements,tapmi fore imi,tapmi fore imi,5-7 years,Social media,,,,,1,0,0,0,0
231,232,PGDM BDA Section B,Man,Puducherry,Pondicherry,22,165.0,B.Tech,Maths,Green,0.0,,Watching Movie,Friends/Family;Social media;,Development,"IMT, TAPMI , IMI",,0 years,Friends/Family,Social media,,,,1,0,0,0,1
232,233,PGDM BDA Section B,Man,Tamilnadu,Chennai,22,165.0,B.Tech,Math,Blue,0.0,Fresher,Light novel,Social media;,Knowledge,"IMI, TAPMI, IMT",TAPMI,0 years,Social media,,,,,1,0,0,0,0
233,234,PGDM BDA Section B,Man,Uttar Pradesh,Meerut,24,168.0,Bachelor of technology (IT),Data Mining,Green,1.4166666666666667,IT Consulting,Football,Social media;,Growth,Not aware of any other analytics mba programs,"IMT GHAZIABAD - BFS, IMI DELHI - HR, NMIMS BANGALORE ",1-2 years,Social media,,,,,1,0,0,0,0
234,235,PGDM BDA Section C,Man,West Bengal,Kolkata,23,183.0,B. Tech IT,Statistics/Finance,Black/Red,0.0,,Streetlifting/Gaming/Anime/Nailing hard problems or puzzles,Online search;Friends/Family;,Growth,NMIMS/SCIT/SIBM,NMIMS/SCIT/IFMR,0 years,Online_search,Friends/Family,,,,0,1,0,0,1
235,236,PGDM BIFS,Woman,Maharashtra,Nagpur,23,5.5,BBA,Financial Institutions,Black,0.0,,Singing,Online search;,Placement,"IMI, TAPMI, Great Lakes",GIM,0 years,Online_search,,,,,0,1,0,0,0
236,237,PGDM BDA Section B,Man,Tamil Nadu,Tiruchirappalli,26,180.0,B.E. Mechanical Engineering,Automobile,Blue,5.0,Mockat Solutions Private Limited,Cycling,Online search;Friends/Family;,"Improve skills like leadership quality, management and in data analytics","IIM Kashipur BA, SCMHRD BA, FORE BDA","IMT Hyderabad, BIM Trichy",2-5 years,Online_search,Friends/Family,,,,0,1,0,0,1
237,238,PGDM BDA Section B,Man,Tamil Nadu,Erode,22,176.0,B.tech(Biotechnology),Maths,Black,0.0,,"Playing Basketball, Reading Books",Social media;Online search;,High,Fore School of Management,"GIM, Goa",0 years,Social media,Online_search,,,,1,1,0,0,0
238,239,PGDM BIFS,Woman,Goa,Panaji,22,152.0,Bachelor of Technology in Civil Engineering,Mathematics,Blue,0.0,,Reading books.,Friends/Family;,Good.,"National Institute of Bank Management, NMIMS, KJ Somaiya Institute of Management Studies and Research.",,0 years,Friends/Family,,,,,0,0,0,0,1
